Token	Normalized word	Stemmed word	
﻿	﻿	﻿	
صحار	صحار	صحار	
(الوطن):	الوطن	وطن	
التقى	التقي	تق	
امس	امس	امس	
معالي	معالي	معال	
بن	بن	بن	
جمعة	جمعه	جمع	
وزير	وزير	زير	
القوى	القوي	قو	
العاملة	العامله	عامل	
برجال	برجال	برجال	
الأعمال	الاعمال	اعمال	
والمسؤولين	والمسؤولين	مسؤول	
منطقة	منطقه	منطق	
الباطنة	الباطنه	باطن	
بقاعة	بقاعه	بقاع	
المحاضرات	المحاضرات	محاضر	
بغرفة	بغرفه	بغرف	
تجارة	تجاره	تجار	
وصناعة	وصناعه	صناع	
عمان	عمان	عم	
فرع	فرع	فرع	
صحار	صحار	صحار	
بحضور	بحضور	بحضور	
سعادة	سعاده	سعاد	
الشيخ	الشيخ	شيخ	
الدكتور	الدكتور	دكتور	
خليفة	خليفه	خليف	
بن	بن	بن	
حمد	حمد	حمد	
السعدي	السعدي	سعد	
والي	والي	ال	
صحار	صحار	صحار	
وعدد	وعدد	عدد	
اصحاب	اصحاب	اصحاب	
السعادة	السعاده	سعاد	
اعضاء	اعضاء	اعضاء	
مجلس	مجلس	مجلس	
الشورى	الشوري	شور	
والمسؤولين	والمسؤولين	مسؤول	
والمشايخ	والمشايخ	مشايخ	
منطقة	منطقه	منطق	
الباطنة.	الباطنه	باطن	
بدأ	بدا	بدا	
اللقاء	اللقاء	لقاء	
بكلمة	بكلمه	بكلم	
رجال	رجال	رجال	
الاعمال	الاعمال	اعمال	
المنطقة	المنطقه	منطق	
القاها	القاها	قا	
بن	بن	بن	
عبدالله	عبدالله	عبدالل	
البادي	البادي	باد	
عضو	عضو	عضو	
مجلس	مجلس	مجلس	
ادارة	اداره	ادار	
الغرفة	الغرفه	غرف	
ورئيس	ورئيس	رئيس	
لجنة	لجنه	لجن	
الغرفة	الغرفه	غرف	
بصحار	بصحار	بصحار	
قال	قال	قال	
فيها:	فيها	في	
العالم	العالم	عالم	
عالم	عالم	عالم	
متغير	متغير	متغير	
ومتقلب	ومتقلب	متقلب	
وبفضل	وبفضل	بفضل	
التقنيات	التقنيات	تقن	
الحديثة	الحديثه	حديث	
قرية	قريه	قر	
صغيرة	صغيره	صغير	
تتأثر	تتاثر	تتاثر	
الدول	الدول	دول	
المتغيرات	المتغيرات	متغير	
والحوادث	والحوادث	حوادث	
الطارئة	الطارئه	طارئ	
السلطنة	السلطنه	سلطن	
جزء	جزء	جزء	
يتجزأ	يتجزا	يتجزا	
القرية	القريه	قر	
يعلم	يعلم	يعلم	
الجميع	الجميع	جميع	
السلطنة	السلطنه	سلطن	
عضو	عضو	عضو	
في	في	في	
منظمة	منظمه	منظم	
التجارة	التجاره	تجار	
العالمية	العالميه	عالم	
انها	انها	ان	
ترتبط	ترتبط	ترتبط	
باتحاد	باتحاد	باتحاد	
جمركي	جمركي	جمرك	
خليجي	خليجي	خليج	
اخواننا	اخواننا	اخواننا	
في	في	في	
دول	دول	دول	
المجلس	المجلس	مجلس	
المنطلق	المنطلق	منطلق	
السلطنة	السلطنه	سلطن	
اليوم	اليوم	يوم	
تعتبر	تعتبر	تعتبر	
سوقا	سوقا	سوقا	
حرا	حرا	حرا	
